fold,test_subject,model,n_test,accuracy,balanced_accuracy,vowel_recall,consonant_recall,adaptive_vowel_weight,adaptive_class_weight_vowel_0,decision_threshold,source_model,fusion_weights,macro_f1,vowel_precision,consonant_precision,roc_auc,average_precision,confusion_matrix,note
1,MM21,adaptive_best_single,77,0.545,0.368,0.0,0.737,1.0,,0.55,summary,,,,,,,,Parsed from completed Kaggle log; precision/F1/AUC/confusion fields were not printed in that log.
1,MM21,catch22,77,0.312,0.357,0.45,0.263,1.0,1.802,0.65,,,,,,,,,Parsed from completed Kaggle log; precision/F1/AUC/confusion fields were not printed in that log.
1,MM21,catch22_summary,77,0.455,0.404,0.3,0.509,1.0,1.802,0.6,,,,,,,,,Parsed from completed Kaggle log; precision/F1/AUC/confusion fields were not printed in that log.
1,MM21,catch22_summary_mr_hydra,77,0.312,0.535,1.0,0.07,,,0.5,,"{'catch22_summary': 0.0, 'mr_hydra': 1.0}",,,,,,,Parsed from completed Kaggle log; precision/F1/AUC/confusion fields were not printed in that log.
1,MM21,hydra,77,0.727,0.491,0.0,0.982,1.0,1.802,0.5,,,,,,,,,Parsed from completed Kaggle log; precision/F1/AUC/confusion fields were not printed in that log.
1,MM21,minirocket_hydra,77,0.74,0.5,0.0,1.0,1.0,1.802,0.5,,,,,,,,,Parsed from completed Kaggle log; precision/F1/AUC/confusion fields were not printed in that log.
1,MM21,mr_hydra,77,0.688,0.465,0.0,0.93,1.0,1.802,0.5,,,,,,,,,Parsed from completed Kaggle log; precision/F1/AUC/confusion fields were not printed in that log.
1,MM21,multirocket,77,0.662,0.496,0.15,0.842,2.0,3.604,0.5,,,,,,,,,Parsed from completed Kaggle log; precision/F1/AUC/confusion fields were not printed in that log.
1,MM21,summary,77,0.545,0.368,0.0,0.737,1.0,1.802,0.55,,,,,,,,,Parsed from completed Kaggle log; precision/F1/AUC/confusion fields were not printed in that log.
2,MM11,adaptive_best_single,77,0.532,0.44,0.238,0.643,1.0,,0.5,minirocket_hydra,,,,,,,,Parsed from completed Kaggle log; precision/F1/AUC/confusion fields were not printed in that log.
2,MM11,catch22,77,0.481,0.524,0.619,0.429,1.0,1.815,0.65,,,,,,,,,Parsed from completed Kaggle log; precision/F1/AUC/confusion fields were not printed in that log.
2,MM11,catch22_summary,77,0.494,0.473,0.429,0.518,1.0,1.815,0.55,,,,,,,,,Parsed from completed Kaggle log; precision/F1/AUC/confusion fields were not printed in that log.
